ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;local_code;coordinates
BR-0891;heliport;Civil Towers Helipad;335.0;SA;BR;BR-BA;Salvador;SIIL;BA0194;-12.98941, -38.449069
BR-0892;heliport;Marisol Helipad,;164.0;SA;BR;BR-SC;Jaraguá do Sul;SIIM;SC0053;-26.482251, -49.063997
BR-0893;small_airport;Fazenda Marrecão Airport;528.0;SA;BR;BR-RO;São Miguel do Guaporé;SIIN;RO0050;-12.04, -63.042222
BR-0894;small_airport;Fazenda Paraíso Airport;2641.0;SA;BR;BR-MG;Alfenas;SIIP;MG0100;-21.347703, -45.836725
BR-0895;heliport;Bira Guimarães Heliport;2290.0;SA;BR;BR-SP;Igaratá;SIIX;SP0508;-23.195379, -46.094771
BR-0896;closed;Ribeirão Cascalheira (Oliveira Silva) Airport;1253.0;SA;BR;BR-MT;Ribeirão Cascalheira;;;-12.911482, -51.826887
BR-0897;small_airport;Antônio Costa da Silva Airport;223.0;SA;BR;BR-AM;Juruá;SWIA;AM0088;-3.482507, -66.057696
BR-0898;small_airport;Pousada Pirá-Açu Airstrip;315.0;SA;BR;BR-AM;Apuí;SNLM;AM0090;-7.771226, -60.379653
BR-0899;small_airport;Pousada Amazon Roosevelt Airport;174.0;SA;BR;BR-AM;Novo Aripuanã;SJQV;AM0092;-7.570001, -60.688766
BR-0900;closed;Presidente Médici International Airport;451.0;SA;BR;BR-AC;Rio Branco;;;-9.992007, -67.8011
BR-0901;small_airport;Fazenda Gaúcha Airport;1834.0;SA;BR;BR-MT;Campo Novo do Parecis;SJYZ;MT0513;-13.723256, -57.618492
BR-0902;small_airport;Fazenda Mina de Ouro Airport;1880.0;SA;BR;BR-MT;Paranatinga;SNNQ;MT0508;-14.131025, -54.235142
BR-0903;heliport;VLI Tiplam Heliport;16.0;SA;BR;BR-SP;Santos;SNNS;SP0860;-23.870838, -46.366146
BR-0904;small_airport;Fazenda São Francisco Airport;1017.0;SA;BR;BR-MT;Indiavaí;SNUJ;MT0503;-15.347004, -58.572064
BR-0905;small_airport;SESC Serra Azul Airport;856.0;SA;BR;BR-MT;Rosário Oeste;SSEA;MT0515;-14.476571, -55.712029
BR-0906;small_airport;Fazenda Rio Xingú Airport;1106.0;SA;BR;BR-MT;Santa Cruz do Xingu;SSWX;MT0498;-10.136081, -52.558165
BR-0907;small_airport;Fazenda Nascente Airport;1863.0;SA;BR;BR-MT;Jaciara;SSZY;MT0509;-16.071395, -55.096146
BR-0908;small_airport;Fazenda Eldorado Airport;1552.0;SA;BR;BR-MT;Gaúcha do Norte;SWJX;MT0507;-13.602402, -53.544488
BR-0909;heliport;JK Business Center Helipad.;1099.0;SA;BR;BR-TO;Palmas;SIJB;TO0052;-10.185282, -48.337677
BR-0910;heliport;Fazenda Jatobá Heliport;2011.0;SA;BR;BR-SP;Santo Antônio de Posse;SIJC;SP0509;-22.582988, -47.034016
BR-0911;heliport;Jeep Heliport;302.0;SA;BR;BR-PE;Goiana;SIJH;PE0029;-7.614178, -34.969288
BR-0912;small_airport;Fazenda Cambay Airstrip;1453.0;SA;BR;BR-MS;Juti;SIJJ;MS0090;-22.669967, -54.32308
BR-0913;small_airport;Fazenda Capuame Airstrip;79.0;SA;BR;BR-BA;Camaçari;SIJK;BA0088;-12.691861, -38.198411
BR-0914;small_airport;Fazenda Tupancy Airport;1719.0;SA;BR;BR-MT;Sapezal;SIJM;MT0098;-13.454916, -58.589466
BR-0915;small_airport;Fazenda Vitória Airport;587.0;SA;BR;BR-MS;Rio Verde de Mato Grosso;SIJV;MS0092;-18.623287, -55.104928
BR-0916;small_airport;Fazenda Retimar Airport;1119.0;SA;BR;BR-MS;Iguatemi;SIJW;MS0093;-23.507238, -54.818137
BR-0917;small_airport;Vô Amantino Airport;1188.0;SA;BR;BR-MT;Cláudia;SISS;MT0504;-11.664502, -55.238421
BR-0918;small_airport;Fazenda Santa Paula Airport;512.0;SA;BR;BR-MT;Cáceres;SWFI;MT0506;-15.643056, -57.548056
BR-0919;small_airport;Fazenda Bang Bang Airport;1086.0;SA;BR;BR-MT;São José do Xingu;SDSL;MT0494;-10.89, -52.734722
BR-0920;small_airport;Cialne Irauçuba Airstrip;495.0;SA;BR;BR-CE;Irauçuba;SIKI;CE0015;-3.754444, -39.951667
BR-0921;small_airport;Fazenda JK Airport;1978.0;SA;BR;BR-MT;Comodoro;SIKJ;MT0101;-13.033575, -59.916773
BR-0922;heliport;Estância do Sol Heliport;2703.0;SA;BR;BR-PR;Arapongas;SWOE;PR0200;-23.508318, -51.431098
BR-0923;small_airport;Dal Molin Airport;1562.0;SA;BR;BR-PR;Santa Izabel do Oeste;SNCQ;PR0202;-25.788383, -53.500649
BR-0924;heliport;Kinbor Helipad;276.0;SA;BR;BR-SP;Praia Grande;SWVH;SP0869;-24.011668, -46.416625
BR-0925;small_airport;Fazenda Rosa do Deserto Airstrip;1411.0;SA;BR;BR-BA;Ubaíra;SDYG;BA0254;-13.240032, -39.759292
BR-0926;small_airport;Tabuleiro V Airport;2523.0;SA;BR;BR-BA;Correntina;SILY;BA0267;-13.243663, -45.375338
BR-0927;small_airport;JH Sementes Airport;3169.0;SA;BR;BR-BA;Correntina;SNJH;BA0259;-13.768178, -46.147334
BR-0928;heliport;Mucugê Village Resort Hotel Heliport;66.0;SA;BR;BR-BA;Porto Seguro;SNOD;BA0262;-16.500111, -39.071866
BR-0929;small_airport;Fazenda Flor da Serra Airport;3261.0;SA;BR;BR-BA;Jaborandi;SNVZ;BA0260;-14.10095, -46.18116
BR-0930;heliport;Yamana Gold Heliport;2136.0;SA;BR;BR-BA;Jacobina;SNZQ;BA0264;-11.259879, -40.518416
BR-0931;heliport;Fazenda Porto Rancho Heliport;374.0;SA;BR;BR-BA;Santa Cruz Cabrália;SSFP;BA0261;-16.373758, -39.320206
BR-0932;small_airport;Flights Ranch Airstrip;1883.0;SA;BR;BR-BA;Santana;SWXR;BA0258;-13.006439, -44.060617
BR-0933;small_airport;Areia Branca Airport;2320.0;SA;BR;BR-MT;Alto Araguaia;;;-17.27798, -53.254711
BR-0934;small_airport;Fazenda Água Boa Airport;801.0;SA;BR;BR-MS;Anastácio;SIKO;MS0095;-20.86007, -55.643582
BR-0935;small_airport;Fazenda Sararé Airport;925.0;SA;BR;BR-MT;Conquista d'Oeste;SIKQ;MT0102;-14.788268, -59.346624
BR-0936;small_airport;Fazenda Vista Linda  Airport;52.0;SA;BR;BR-BA;Mucuri;SIKW;BA0089;-18.146774, -39.594353
BR-0937;heliport;Kekafly III Helipad;262.0;SA;BR;BR-SC;Brusque;SIKY;SC0106;-27.107661, -48.916272
BR-0938;small_airport;Fazenda Belizário Airport;2474.0;SA;BR;BR-BA;Riachão das Neves;SILB;BA0090;-11.526303, -45.728645
BR-0939;heliport;Alves e Moura Heliport;3097.0;SA;BR;BR-PE;Bezerros;SN29;PE0105;-8.186667, -35.782222
BR-0940;heliport;Lytorânea Heliport;75.0;SA;BR;BR-RJ;Itaguaí;SILH;RJ0087;-22.862905, -43.748347
BR-0941;small_airport;Fazenda Santa Clara Airport;2037.0;SA;BR;BR-PI;Bom Jesus;SILI;PI0021;-9.188559, -45.048215
BR-0942;small_airport;Fazenda Tabaroa Airport;2149.0;SA;BR;BR-SP;Águas de Santa Bárbara;SJC2;SP0185;-22.7976, -49.269128
BR-0943;heliport;VOCP Helipad;2661.0;SA;BR;BR-SP;São Paulo;SILV;SP0524;-23.594503, -46.688983
BR-0944;heliport;Monte das Acácias Heliport;1526.0;SA;BR;BR-PE;Gravatá;SILW;PE0031;-8.219883, -35.544882
BR-0945;small_airport;Dois Rios Airport;236.0;SA;BR;BR-AM;Humaitá;;;-7.564006, -62.814347
BR-0946;small_airport;Fazenda Santo Expedito IV Airport;1158.0;SA;BR;BR-TO;Rio Sono;SILZ;TO0019;-9.836388, -47.305152
BR-0947;heliport;Punta Del Este Heliport;3071.0;SA;BR;BR-PR;Sertaneja;SIMC;PR0109;-22.808821, -50.994968
BR-0948;heliport;Canto da Praia Helipad;3.0;SA;BR;BR-SC;Itapema;SIPC;SC0059;-27.093711, -48.60468
BR-0949;small_airport;Fazenda Imperial Airport;1621.0;SA;BR;BR-PI;Sebastião Leal;SIMF;PI0022;-7.850249, -44.069167
BR-0950;heliport;Honda Automóveis Heliport;2083.0;SA;BR;BR-SP;Sumaré;SIMH;SP0527;-22.834015, -47.193392
BR-0951;heliport;Marina Igararecê Helipad;23.0;SA;BR;BR-SP;São Sebastião;SIMI;SP0528;-23.768241, -45.403039
BR-0952;small_airport;Fazenda Siriema Airport;505.0;SA;BR;BR-MT;Santo Antônio do Leverger;SIML;MT0107;-15.847588, -55.838125
BR-0953;small_airport;Aviação Agrícola Manain Airport;1204.0;SA;BR;BR-MT;Sinop;SIMN;MT0108;-11.754112, -55.359073
BR-0954;small_airport;Fazenda Morro Vermelho Airport;2526.0;SA;BR;BR-PR;Ribeirão Claro;SIMO;PR0048;-23.228029, -49.777613
BR-0955;small_airport;Fazenda Califórnia Airstrip;1220.0;SA;BR;BR-MS;Camapuã;SIMS;MS0101;-19.094958, -54.184984
BR-0956;heliport;Pedreira Maria Teresa LTDA Helipad;177.0;SA;BR;BR-SP;São Vicente;SIMT;SP0530;-23.925377, -46.461677
BR-0957;small_airport;Asas do Ar Airport;3802.0;SA;BR;BR-DF;Brasília;SINA;DF0004;-15.610075, -47.574037
BR-0958;small_airport;Campo Nuic Airport;4718.0;SA;BR;BR-SC;Bom Jardim da Serra;SINC;SC0029;-28.381667, -49.569167
BR-0959;heliport;Radin Helipad;2854.0;SA;BR;BR-MG;São Gonçalo do Sapucaí;SIND;MG0227;-21.892495, -45.595975
BR-0960;heliport;Heliponto N&F;98.0;SA;BR;BR-ES;Serra;SINF;ES0018;-20.23078, -40.276987
BR-0961;small_airport;Fazenda Bela Vista do Caronal Airstrip;466.0;SA;BR;BR-MS;Corumbá;SINI;MS0107;-18.205871, -55.973325
BR-0962;small_airport;Tamanduá Bandeira - MC Airstrip;1204.0;SA;BR;BR-MS;Ribas do Rio Pardo;SINJ;MS0108;-20.47297, -53.692748
BR-0963;closed;Fazenda Maravilha Airport;561.0;SA;BR;BR-TO;Arapoema;;;-7.648926, -49.280282
BR-0964;small_airport;Comandante Nelinho Airport;2920.0;SA;BR;BR-SC;Araranguá;SINN;SC0030;-28.974435, -49.488253
BR-0965;heliport;Innovare Hotel Helipad;249.0;SA;BR;BR-SC;Brusque;SINO;SC0058;-27.096234, -48.914121
BR-0966;small_airport;Fazenda Santa Rosa Airport;358.0;SA;BR;BR-MT;Cáceres;SINR;MT0110;-17.064444, -57.764015
BR-0967;small_airport;Fazenda Grupo Nissey Airport;581.0;SA;BR;BR-MT;Cáceres;SINS;MT0111;-16.170295, -58.557298
BR-0968;heliport;Irmãos Hort Heliport;151.0;SA;BR;BR-SC;Brusque;SINU;SC0104;-27.117354, -48.947074
BR-0969;small_airport;Fazenda Nova Baús Airport;2802.0;SA;BR;BR-GO;Mineiros;SINV;GO0053;-18.188197, -53.099379
BR-0970;heliport;Morro do Chapeú Heliport;4518.0;SA;BR;BR-MG;Nova Lima;SINX;MG0228;-20.108965, -43.938806
BR-0971;small_airport;Fazenda Primavera Airport;118.0;SA;BR;BR-BA;Canavieiras;SIOA;BA0091;-15.5675, -39.152778
BR-0972;heliport;DIMEP Helipad;2428.0;SA;BR;BR-SP;São Paulo;SIOD;SP0534;-23.529347, -46.744149
BR-0973;heliport;Praiamar Helipad;404.0;SA;BR;BR-SP;Santos;SIOF;SP0535;-23.978763, -46.309025
BR-0974;small_airport;Suinobras Airport;1588.0;SA;BR;BR-MT;Diamantino;SIOG;MT0112;-14.507296, -56.302743
BR-0975;small_airport;Fazenda Onça Parda Airport;1135.0;SA;BR;BR-MS;Novo Horizonte do Sul;SIOI;MS0109;-22.662664, -53.729258
BR-0976;small_airport;Fazenda Porto Velho Airport;2717.0;SA;BR;BR-MG;Carmo do Cajuru;SIOJ;MG0105;-20.313557, -44.698328
BR-0977;small_airport;Fazenda Rio Bonito Airport;1864.0;SA;BR;BR-MS;Costa Rica;SIOL;MS0110;-19.199871, -52.968926
BR-0978;small_airport;Fazenda Orquídeas Airport;2762.0;SA;BR;BR-BA;Barreiras;SIOM;BA0092;-11.839133, -46.232993
BR-0979;heliport;Tibagi Heliport;2808.0;SA;BR;BR-CE;Guaramiranga;SION;CE0036;-4.251397, -38.951597
BR-0980;small_airport;Poletto Airstrip;1663.0;SA;BR;BR-MT;Santa Rita do Trivelato;SIOP;MT0113;-13.7971, -55.280063
BR-0981;small_airport;Feliz Airport;131.0;SA;BR;BR-RS;Feliz;SIPF;RS0063;-29.447939, -51.295476
BR-0982;small_airport;Aero Parque Tupã Airport;1516.0;SA;BR;BR-RS;Tupanciretã;SIPJ;RS0064;-29.08499, -53.864991
BR-0983;small_airport;Pista Aldeia Pykararankre;751.0;SA;BR;BR-PA;São Félix do Xingu;SIPL;PA0052;-7.459986, -52.657731
BR-0984;heliport;Office Park Helipad;112.0;SA;BR;BR-PE;Cabo de Santo Agostinho;SIPQ;PE0033;-8.255344, -34.948089
BR-0985;small_airport;Guatambu Piauí Airstrip;2336.0;SA;BR;BR-BA;Santa Rita de Cássia;SIPU;BA0095;-10.598333, -44.388056
BR-0986;small_airport;Pista Aldeia Pykatô;1073.0;SA;BR;BR-PA;Cumaru do Norte;SIPY;PA0053;-8.475134, -51.663419
